provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,access,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:31,,DEVATL000162762,Type2,Vattenfall DE,FreePublic,,,null,2,52.533022,13.384487,"{'streetAndNumber': 'Caroline-Michaelis-Strasse 2 ', 'postalCode': '10115', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:32,,DEVATL000162758,Type2,Vattenfall DE,FreePublic,,,null,2,52.510936,13.429086,"{'streetAndNumber': 'Holzmarktstraße 44 ', 'postalCode': '10243', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:33,,DEALLEGO000941,Type2,Allego,Unspecified,,,null,2,52.498642,13.407917,"{'streetAndNumber': 'Gitschiner Str. 64', 'postalCode': '10969', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:33,,DEALLEGO000942,Type2,Allego,Unspecified,,,null,2,52.498642,13.407917,"{'streetAndNumber': 'Gitschiner Str. 64', 'postalCode': '10969', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:34,,DECPIL2891085,Type2,ChargePoint Inc.,Unspecified,,,null,2,52.462243,13.158655,"{'streetAndNumber': '221 Kladower Damm', 'postalCode': '14089', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:35,,DEALLEGO001028,Type2,Allego,Unspecified,,,null,2,52.478894,13.436308,"{'streetAndNumber': 'Werbellinstr. 8', 'postalCode': '12053', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:36,,7245,Type2,Energie- und Wasser Potsdam,FreePublic,,,null,2,52.43211,13.05439,"{'streetAndNumber': 'Nedlitzer Straße 0', 'postalCode': '14469', 'city': 'Potsdam', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:37,,DEALLEGO000924,Type2,Allego,Unspecified,,,null,2,52.51649,13.293968,"{'streetAndNumber': 'Nehringstr. 4', 'postalCode': '14059', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:38,,DEALLEGO001049,Type2,Allego,Unspecified,,,null,2,52.511309,13.396763,"{'streetAndNumber': 'Leipziger Str. 59-in Jerusalemer Str.', 'postalCode': '10117', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:39,,DEALLEGO001042,Type2,Allego,Unspecified,,,null,2,52.498568,13.419909,"{'streetAndNumber': 'Reichenberger Str. 20', 'postalCode': '10999', 'city': 'Berlin', 'country': 'DEU'}",
